"FogTawmjhVnJCoTiaxvZA","Food","0.08349806","Salad","0.049550936","Breakfast & Brunch","0.049334817"
"a2ZBDIXmwBm7IWnXR6LKg","Food","0.1291979","Salad","0.036038883","Mediterranean","0.035043523"
"MVHGmZEwtKrXH11ySGweEw","Seafood","0.1303877","Food","0.08929576","Salad","0.034678433"
"HCCgrVnHQ2FI6lHsLvUQ","Breakfast & Brunch","0.10877219","Food","0.09019918","Coffee & Tea","0.05183655"
"qx6WhZ42eDKmBchZDax4dQ","Pizza","0.18100278","Food","0.09386927","American (New)","0.050122723"
"eS29S06lvsDW04wVrIVxg","Food","0.095180914","Mexican","0.08146767","Salad","0.028092738"
"jsuUmIEefPjVads62Z5w","Food","0.1133351","Breakfast & Brunch","0.08833205","Mexican","0.06461945"
"Noi53T0PWNEN9mQRS3Ncg","Food","0.09411684","Breakfast & Brunch","0.08621523","Coffee & Tea","0.068196036"
"HGhXbgeMEcg1cIZwxyNDeg","Food","0.05192425","Venues & Event Spaces","0.030125286","American (New)","0.02938026"
"Rg43a31sV7gNLZMjyZdCg","Food","0.091376595","Salad","0.042912368","Breakfast & Brunch","0.035425074"
"yQHIYKXH3HAdhh1W52OMQ","Food","0.086776465","Coffee & Tea","0.036162276","American (New)","0.03071469"
"Iq7NqQDsESu3vr9iEGuTA","Breakfast & Brunch","0.108783096","Food","0.10206036","Coffee & Tea","0.05452398"
"C8DGU9cDDjbOJfCaGXxDQ","Food","0.10086949","Salad","0.058927827","American (New)","0.029824695"
"6tvduBzjLI1ISfs3FqTg","Food","0.10396281","Mexican","0.059128903","Salad","0.036580537"
"AfN3Z1U6QPEgAb5F2CQm8w","Food","0.090845846","Seafood","0.046355356","Bars","0.03418611"
"frCxZS7lPhEnQRJ3UY6m7A","Food","0.097321495","Mexican","0.07023919","American (New)","0.023652941"
"xIbtbAJLWLNZcqfqF4fNw","Food","0.09098582","Salad","0.04348077","Breakfast & Brunch","0.037868112"
"IsoLzudHC50oJLiEWpwVw","Food","0.09810661","Salad","0.062348887","Breakfast & Brunch","0.05390901"
"7m1Oa1VYV98UUuo6i0EZg","Burgers","0.124641486","Food","0.08292712","American (New)","0.025452012"
"3N9U549Zse8UPMwKZAjAQ","Food","0.10060963","Pizza","0.07400945","Breakfast & Brunch","0.07283399"
"d10IxZPirVJlOSpdRZJczA","Salad","0.0920572","Food","0.08741517","Restaurants","0.026167877"
"7MNBIoGznDHhC1AfxGWOFw","Home Services","0.06112072","American (New)","0.04107542","Event Planning & Services","0.033687215"
"Gz9SlLqxS6wnxPvgdOQNrA","Food","0.076830834","Bars","0.025905285","American (New)","0.023859007"
"wZukjLaf1V2dLRQapZriw","Food","0.099407464","Breakfast & Brunch","0.04805851","Salad","0.04635336"
